,TEAM,POS,PLAYER,GP,G,A,PTS,+/-,PIM,ATOI,PPG,PPA,SHG,SHA,SOG,SPCT
721,pit, RW,Beau Bennett,25,5,5,10,-4,8,12:44,1,2,0,0,41,12.2
722,pit, C ,Nick Bonino,40,3,7,10,4,19,15:24,1,0,0,0,52,5.8
723,pit, D ,Ben Lovejoy,49,2,6,8,6,20,19:20,0,0,0,1,68,2.9
724,pit, D ,Trevor Daley,20,4,3,7,-3,8,19:16,1,2,0,0,29,13.8
725,pit, RW,Eric Fehr,39,5,2,7,-2,11,12:59,0,0,3,0,47,10.6
726,pit, LW,Carl Hagelin,6,0,5,5,4,2,16:51,0,0,0,0,17,0.0
727,pit, D ,Rob Scuderi,25,0,4,4,4,8,17:05,0,0,0,1,9,0.0
728,pit, RW,Pascal Dupuis,18,2,2,4,-1,12,15:06,0,0,0,0,28,7.1
729,pit, D ,Ian Cole,45,0,4,4,-17,32,17:55,0,1,0,0,56,0.0
730,pit, C ,Kevin Porter,28,0,3,3,-2,0,11:43,0,0,0,0,22,0.0
731,pit, LW,Conor Sheary,16,2,1,3,-6,2,11:08,0,0,0,0,25,8.0
732,pit, RW,Daniel Sprong,18,2,0,2,-1,0,8:44,0,0,0,0,23,8.7
733,pit, LW,Sergei Plotnikov,32,0,2,2,-3,20,9:41,0,0,0,0,32,0.0
734,pit, RW,Bryan Rust,14,2,0,2,1,2,10:17,0,0,0,0,22,9.1
735,pit, C ,Scott Wilson,6,0,1,1,0,7,7:52,0,0,0,0,5,0.0
736,pit, D ,Derrick Pouliot,3,0,1,1,1,0,12:35,0,0,0,0,2,0.0
737,pit, D ,David Warsofsky,12,1,0,1,-6,0,17:45,1,0,0,0,21,4.8
738,pit, D ,Adam Clendening,9,0,1,1,3,10,13:08,0,0,0,0,11,0.0
739,wsh, C ,Evgeny Kuznetsov,48,15,36,51,25,24,17:45,3,11,0,0,106,14.2
740,wsh, C ,Nicklas Backstrom,45,17,29,46,17,22,19:24,3,16,0,0,81,21.0
741,wsh, LW,Alex Ovechkin,46,28,14,42,20,26,20:28,11,3,0,0,234,12.0
742,wsh, RW,Justin Williams,48,16,17,33,17,12,16:48,3,4,0,1,121,13.2
743,wsh, RW,T.J. Oshie,48,15,15,30,14,16,19:22,6,4,0,0,111,13.5
744,wsh, C ,Marcus Johansson,44,13,17,30,12,10,16:47,5,4,0,0,81,16.0
