id,Home Team,Home Team Score,Visit Team,Visit Team Score
400791104,Cincinnati,21,Chicago Bears,10
400791105,Chicago Bears,24,Cleveland,0
400791638,Minnesota,26,Detroit Lions,16
400791523,Detroit Lions,19,Minnesota,28
400791490,Green Bay,16,Detroit Lions,18
400791568,Detroit Lions,23,Green Bay,27
400791729,New Orleans,27,Detroit Lions,35
400790307,Jacksonville,17,Detroit Lions,22
400791700,Carolina,37,Green Bay Packers,29
400791677,Minnesota,13,Green Bay Packers,30
400791683,Green Bay Packers,13,Minnesota,20
400791767,Pittsburgh,24,Green Bay Packers,19
400791769,Green Bay Packers,38,New Orleans,10
400791514,Atlanta,10,Minnesota Vikings,20
400761517,Minnesota Vikings,14,Pittsburgh,3
400791782,Minnesota Vikings,26,Tampa Bay,16
400791784,Tennessee,24,Minnesota Vikings,17
400791546,Baltimore Ravens,24,Cincinnati,28
400791662,Pittsburgh,20,Baltimore Ravens,23
400791545,Baltimore Ravens,30,Cleveland,33
400791581,Baltimore Ravens,20,Jacksonville,22
400791561,Cleveland,27,Baltimore Ravens,33
400791575,Baltimore Ravens,20,Pittsburgh,17
400791617,Cincinnati,24,Baltimore Ravens,16
400790313,Baltimore Ravens,30,New Orleans,27
400791146,Atlanta,20,Baltimore Ravens,19
400820428,Cincinnati Bengals,16,Pittsburgh,18
400791649,Pittsburgh,10,Cincinnati Bengals,16
400791698,Cincinnati Bengals,31,Cleveland,10
400791622,Cincinnati Bengals,6,Houston,10
400791619,Cleveland,3,Cincinnati Bengals,37
400791566,Cincinnati Bengals,20,Pittsburgh,33
400790306,Tampa Bay,25,Cincinnati Bengals,11
400791145,Indianapolis,6,Cincinnati Bengals,9
400791669,Cleveland Browns,28,Tennessee,14
400791556,Pittsburgh,30,Cleveland Browns,9
400791620,Cleveland Browns,12,Pittsburgh,28
400791772,Tampa Bay,7,Cleveland Browns,31
400791682,Pittsburgh Steelers,45,Indianapolis,10
400791141,Jacksonville,23,Pittsburgh Steelers,21
400791143,Pittsburgh Steelers,6,Carolina,23
400791709,Atlanta Falcons,48,Houston,21
400791593,New Orleans,31,Atlanta Falcons,21
400791517,Tennessee,7,Atlanta Falcons,10
400791605,Atlanta Falcons,20,Tampa Bay,23
400791640,Atlanta Falcons,21,Indianapolis,24
400791579,Tampa Bay,23,Atlanta Falcons,19
400791604,Carolina,38,Atlanta Falcons,0
400791685,Jacksonville,17,Atlanta Falcons,23
400791563,Atlanta Falcons,20,Carolina,13
400791614,Atlanta Falcons,17,New Orleans,20
400791736,Atlanta Falcons,31,Tennessee,24
400791547,Jacksonville,9,Carolina Panthers,20
400791628,Carolina Panthers,24,Houston,17
400791557,Carolina Panthers,27,New Orleans,22
400791701,Tampa Bay,23,Carolina Panthers,37
400791690,Carolina Panthers,29,Indianapolis,26
400791499,Tennessee,10,Carolina Panthers,27
400791602,New Orleans,38,Carolina Panthers,41
400791610,Carolina Panthers,38,Tampa Bay,10
400791634,New Orleans Saints,19,Tampa Bay,26
400791520,Indianapolis,21,New Orleans Saints,27
400791722,New Orleans Saints,28,Tennessee,34
400791512,Houston,24,New Orleans Saints,6
400791539,Tampa Bay,17,New Orleans Saints,24
400791528,New Orleans Saints,38,Jacksonville,27
400790309,New Orleans Saints,13,Houston,27
400791582,Tampa Bay Buccaneers,14,Tennessee,42
400791589,Houston,19,Tampa Bay Buccaneers,9
400791498,Tampa Bay Buccaneers,38,Jacksonville,31
400791505,Indianapolis,25,Tampa Bay Buccaneers,12
400791487,Houston Texans,20,Indianapolis,27
400791637,Jacksonville,20,Houston Texans,31
400791653,Houston Texans,20,Tennessee,6
400791688,Indianapolis,10,Houston Texans,16
400791518,Tennessee,6,Houston Texans,34
400791644,Houston Texans,30,Jacksonville,6
400791496,Tennessee,33,Indianapolis Colts,35
400791671,Indianapolis Colts,16,Jacksonville,13
400791573,Jacksonville,51,Indianapolis Colts,16
400791645,Indianapolis Colts,30,Tennessee,24
400791632,Jacksonville Jaguars,19,Tennessee,13
400791643,Tennessee,42,Jacksonville Jaguars,39
